no,text,translate,label1,label2,average
38,min lingkung camat gunung sindur bogor mati listrik tahap awal akhir ppkm usaha cari nafkah udah mati gak ada gak ada gmana mau ikut pesan presiden utk cc,"Min, environment, sub-district head of Gunung Sindur, Bogor, power outages in the early stages of the end of PPKM, the business of making a living has died, there is nothing, how do you want to follow the president's message for CC",0,0,0
39,waktu ppkm darurat bukan cuma miskin semu lini yg tadi gaji besar juga jd miskin otak,"During emergency PPKM, not only was the line poor who had a big salary before but also became poor in brain",0,0,0
40,masalah kok di panjang udah kayak ppkm,the problem is how long it's like ppkm,0,0,0
41,gehara ppkm amat gk perna msk makanya skg si amt bodoh,Gehara ppkm really never came that's why now he's so stupid,0,0,0
42,since ppkm yg bikin mood ancur bikin frustrated gimana cara dapet uang gimana cara biar bisa bayar ini bayar sampe nafsu makan aja,"since it was PPKM that ruined the mood and made me frustrated, how do I get money, how can I pay for this, just pay until I have an appetite",0,0,0
43,paksa karna ppkm,forced because of ppkm,0,0,0
44,tiktokers yg waktu itu ultah langgar ppkm aja akhir cuma dendaa,"Tiktokers who broke PPKM's birthday at that time, only a fine in the end",0,0,0
45,lagi stress banget gatau karena tiap hari rebah sambil sosmed an karena gaberani keluar kemudian berani baca buku yang judul begitu plong banget,"I'm really stressed, I don't know because every day I fall down on social media because I don't have the courage to go out and then I dare to read a book with a very long title",0,0,0
46,gapapa tp atur ttp hari malah di hotel itu tau lebih ketat kalo pas sblm ppkm itu ada yg karantina di wisma atlet emg hr trs pcr negatif blh pulang jg bingung tp kalo hotel wajib hari msh hari,"it's okay but set it but the day at the hotel knows it's stricter if just before PPKM there is someone who is quarantined at the athlete's house, it's still a negative day",0,0,0
47,apa yg misal ppkm panjang lagi sampai laut mati hidup lagi w udah pasrah,"what for example, long PPKM again until the dead sea comes to life again w I've given up",0,0,0
48,ppkm bukan bikin langit makin biru mala jadi abu abu dan buat susah nafas siapa yang rasa itu akhir akhir,"PPKM doesn't make the sky bluer and it turns gray and makes it hard to breathe, who thinks it's the end",0,0,0
49,makin jepit aja rezim medis fakta fakta balik serang ppkm abal,"The medical regime is getting tighter, the facts behind the fake PPKM attack",0,0,0
50,ppkm gak msk jokowi bego gilo gilo lo,"PPKM doesn't see Jokowi, you're stupid, you're crazy",0,0,0
51,dki sulit turun ke ppkm level meski corona sudah rendah detikhealth,dki is difficult to get down to ppkm level even though corona is already low detikhealth,0,0,0
52,tp harus dibreakdown apa apa ppkm wilayah dgn kunci atau dgn steril atau gitu,But it has to be broken down or PPkm the area with a key or with a sterile or something like that,0,0,0
53,pelan pelan kami marah,slowly we get angry,0,0,0
54,di facebook ada yang bilang kalo bansos henti walaupun ppkm,on facebook someone said that social assistance stopped even though ppkm,0,0,0
55,ppkm kasus celaka di batu pada akhir september naik angka banyak,PPKM cases of accidents in Batu at the end of September increased by a lot,0,0,0
56,cb elaborasi lg capai ppkm ini bs kurang mobilitas duduk provinsi brp jgn main asal klaim gt lah,cb elaboration lg achieve this ppkm can lack mobility sitting in what province don't play as long as you claim gt,0,0,0
57,kalo udah bs prediksi gin ngapa itu bandara mau buka buat orang ppkm serah negara aja kalo gelombang tiga datang juang aja,"If you can predict why the airport will open for PPKM people, just leave the country if the third wave comes, just fight",0,0,0
58,aku sih dulu iya belum ppkm tapi pas dalem bilang ke tugas bioskop izin buat deketan tanpa jarak boleh ntar pita diilangin,"I used to have no PPKM, but when I went to the cinema I said that I was allowed to be close without the distance, then the tape would be removed",0,0,0
59,disiplin prokes di ppkm level satsamapta polres serang gelar ops yustisi,Prokes discipline at PPKM level Satsamapta Polres attack holds judicial ops,0,0,0
60,panjang ga ada pasti ujung sampe ppkm apa konsep dulu,"long, there's no definite end until PPKM, what was the first concept",0,0,0
61,antisipasi longgar ini pesan kapolri,this loose anticipation is the message from the chief of police,0,0,0
62,imbas ppkm darurat min,impact of emergency ppkm min,0,0,0
63,datang sendiri sidang vonis langgar wali kota semua sama di muka hukum,"come alone, the trial verdict violates the mayor, all are equal before the law",0,0,0
64,syarat naik pesawat oktober tuju jawa dan tak perlu pcr bila sudah vaksin dosis dua via,Requirements to board an October flight to Java and no need for PCR if you have received a second dose of vaccine,0,0,0
65,turun level dinkes batang sasar vaksinasi lansia,lowering the level of the trunk health office targeting elderly vaccinations,0,0,0
66,perintah panjang ppkm hingga okt area jawa bal ppkm level bawah mengijinkan kerja sektor non esensial kerja kembali di kantor,long orders ppkm to oct Java bal area ppkm lower level allows non-essential sector work to return to work in the office,0,0,0
67,sampe lupa kalo masih dalam suasana ppkm,I forget that I'm still in PPKM,0,0,0
68,perintah panjang ppkm hingga okt area jawa bal ppkm level bawah mengijinkan kerja sektor non esensial kerja kembali di kantor,long orders ppkm to oct Java bal area ppkm lower level allows non-essential sector work to return to work in the office,0,0,0
69,sampe lupa kalo masih dalam suasana ppkm,I forget that I'm still in PPKM,0,0,0
70,bupati morowali jangan percaya berita vaksinasi bukti tekan angka korban,"Morowali regent don't believe the news of vaccination, proof of suppressing the number of victims",0,0,0
71,sayang banget rilis pas musim coba gaada ppkm pasti bakal rame bangettt,"Too bad it's released during the trial season without PPKM, it's definitely going to be really busy",0,0,0
72,riau minta pasok bbm tambah iring turun level ppkm di,"Riau asks for more fuel supplies, along with lowering the PPKM level at",0,0,0
73,ppkm pengaruh besar cegah covid,PPKM has a big impact on preventing covid,0,0,0
74,status ppkm tahan di level lihat bahwa pandemi kian pada saat seperti ini justru kampanye tertib prokes perlu makin saksi episode kamis pukul wib hanya di,"PPKM status is holding at the level. See that the pandemic is getting worse at a time like this, in fact, the campaign for an orderly process needs more witnesses to the Thursday episode at WIT only on",0,0,0
75,ppkm lindung masyarakat dari kena virus korona,PPKM protects the public from getting infected with the corona virus,0,0,0
76,ppkm lindung masyarakat dari kena virus korona,PPKM protects the public from getting infected with the corona virus,0,0,0
77,wakil ketua umum bidang koperasi dan umkm kadin akhmad syarbini efektivitas laksana ppkm darurat sangat gantung pada perilaku tanpa,"Kadin Deputy General Chairperson for Cooperatives and SMEs, Akhmad Syarbini, the effectiveness of emergency PPKM is very dependent on behavior without",0,0,0
78,ubah atur ppkm level pasar dan mal boleh buka persen via apa berat kalian even lbp lbp lagi yg pasti tdk ada satu orang bisa bantah hasil tak kenal istilah mangkrak bro n sist,"change the PPkm at market and mall levels, you can open percent via what weight you are even lbp lbp again for sure no one can deny the results don't know the term stalled bro n sis",0,0,0
79,ppkm bisa jadi kurang cara signifikan kasus bullying dan rundung oleh yg sakit cara mental dan harus dapat treatment,PPKM can be less significant in cases of bullying and bullying by those who are mentally ill and must receive treatment,0,0,0
80,disiplin prokes di ppkm level satsamapta polres serang gelar ops yustisi,Prokes discipline at PPKM level Satsamapta Polres attack holds judicial ops,0,0,0
81,ppkm lindung masyarakat dari kena virus korona,PPKM protects the public from getting infected with the corona virus,0,0,0
82,wakil ketua umum bidang koperasi dan umkm kadin akhmad syarbini efektivitas laksana ppkm darurat sangat gantung pada perilaku tanpa,"Kadin Deputy General Chairperson for Cooperatives and SMEs, Akhmad Syarbini, the effectiveness of emergency PPKM is very dependent on behavior without",0,0,0
83,ppkm di kudus naik karena cakup vaksinasi lansia masih persen,PPKM in Kudus increases because the elderly vaccination coverage is still at a percent,0,1,0
84,tak pikir turun level pemda kbb fokus selesai vaksinasi,I don't think the local government level will go down kbb focus on finishing vaccination,0,1,0
85,jumlah anggota dprd banjarmasin gelar kunker di tengah polemik bando dan batas level iv yang baru saja simak,the number of members of the Banjarmasin dprd holds a kunker in the midst of the bando controversy and the level IV limit that has just been seen,0,1,0
86,jadi buah usaha di gapok bawah untuk penuh tambah tunjang tunjang supaya tara dengan namun saat thr ambil dari kali gapok sekitar juta tidak full apalagi saat ppkm atur tunjang tunjang tidak,"so the fruit of the effort in gapok below to fully add support so that it is equal, but when thr take it from times gapok around million is not full, especially when PPkm set tunjang tunjang not",0,1,0
87,gk capek soal gw gamau tiap orang ngegampangin regulasi kait soal cara tidak langsung mereka nyusahin karena siapa tau bawa varian baru yang rugi ya makin lama,"I'm not tired of it, I don't want everyone to make it easy for the regulation of hooks about the indirect way, they're bothersome because who knows if they bring a new variant that will lose, the longer it takes",0,1,0
88,kemnaker bilang sutradara sinetron rcti bakal di rumah lama ppkm,The Ministry of Manpower said that the director of the RCTI soap opera would be at PPKM's old house,0,1,0
89,sudah turun ke desa dan camat dengan serbu tapi kalau rakyat tidak ikut kerja maka ini tidak akan hasil tutur kadrun banyak di dki,have gone down to the village and sub-district head with raids but if the people don't come to work then this will not be the result of many Kadrun speeches in dki,0,1,0
90,ppkm level yg laku hari ini mulai dapat lawan dari rakyat aceh bangkit people,"The PPKM level that is selling today is starting to get opponents from the people of Aceh, wake up people",0,1,0
91,wkwkwk justru guwe tanya dasar klaim kata test lacak data efektifitas ppkm per mana,"wkwkwk instead I asked the basis for claiming the word test, tracking data on the effectiveness of PPKM where",0,1,0
92,memang para atlet dan ofisial belum pada vaksin semua mamam tuh ppkm app pedulisetan yang gembor gemborin kata udah integrasi sama ini lah itu kalo udah gin pada buang bodi mana,"Indeed, athletes and officials have not yet been vaccinated, all mamas are PPKM, the Caressatan app, which boasts about being integrated with this, if you already have gin, which body will you throw away?",0,1,0
93,baru saja ppkm langsung,just direct ppkm,0,1,0
94,asli lama ppkm psbb tetek,original old ppkm psbb tits,0,1,0
95,ga boleh,can't,0,1,0
96,prestasi vaksin pandeglang kembali terap ppkm level ini,The achievement of the Pandeglang vaccine is again applying this level of PPKM,0,1,0
97,apakah ini efek ppkm harga tiket naik,is this the effect of ppkm ticket prices go up,0,1,0
98,bbm langka di benar akibat,rare fuel in the right result,0,1,0
99,udah jarang orang karna bagi percaya ppkm hasil dari dulu juga gin asu saya prediksi panjang kmudian tahun nama inti lokdon ingat y,"It's rare for people to believe that PPKM is the result of a long time ago, Gin Asu, I predict the length of the year, then the name of the core, I remember, I remember",0,1,0
100,baru saja ppkm langsung,just direct ppkm,0,1,0
101,asli lama ppkm psbb tetek,original old ppkm psbb tits,0,1,0
102,apakah ini efek ppkm harga tiket naik,is this the effect of ppkm ticket prices go up,0,1,0
103,vaksinasi corona yang nilai panjang ppkm level laku di daerah jawa lengkap di,"Corona vaccination, which has a long PPKM level, sells in the Java area, complete at",0,1,0
104,baru empat boneka di surabaya bongkar satpol pp dan bpb linmas boneka bongkar tugas satpol pp karena tak izin dan timbul,only four puppets in Surabaya dismantled PP Satpol and BPB Linmas dolls unloaded PP Satpol duties because they were not authorized and appeared,0,1,0
105,tanya dari saya ingin tanya mengapa di tengah terap ppkm di indonesia intensitas polusi udara tidak juga turun dan bagaimana terap bagai regulasi perintah yang ada dalam tangan cemar udara jauh,"a question from me, I want to ask why in the midst of implementing PPKM in Indonesia the intensity of air pollution has not also decreased and how it is applied as a regulation of orders that are in the hands of distant air pollutants.",0,1,0
106,pantai pulo kodok tegal lama ppkm sepi unjung,"Pulo frog beach, Tegal, long time ago, ppkm is quiet",0,1,0
107,ekonomi di jatim sempat lemah akibat ada bijak oleh karena gubernur jawa khofifah indar parawansa kata bahwa ekonomi bisa kembali pulih dengan kerja dan,"The economy in East Java was weak due to wisdom, because the governor of Java, Khofifah Indar Parawansa, said that the economy could recover with work and",0,1,0
108,trus desember pada rame ppkm gk bs acara lagi,"Then in December, PPKM can't show anymore",0,1,0
109,oh jadi kalau ngelabrak orang boleh ga patuh ppkm ya,"oh so if you bump into people, can you not obey PPKM?",0,1,0
110,kan lagi ppkm kena denda,PPKM is still being fined,0,1,0
111,aku pikir telah nikah bisa traveling keliling indonesia dengan bebas eh tp banyak dan gabisa deh libur,"I thought that when I got married, I could travel around Indonesia freely, but there were a lot and I couldn't take a day off",0,1,0
112,hanya nambah biaya utk,only add cost for,0,1,0
113,meski tambah kasus corona sudah dki jakarta masih tahan di ppkm level hal ini karena ada beberapa faktor dari target perintah yang belum,"Even though the Corona case has been added, DKI Jakarta is still holding it at the PPKM level, this is because there are several factors from the target order that have not been ordered yet.",0,1,0
114,udah jarang orang karna bagi percaya ppkm hasil dari dulu juga gin asu saya prediksi panjang kmudian tahun nama inti lokdon ingat y,"It's rare for people to believe that PPKM is the result of a long time ago, Gin Asu, I predict the length of the year, then the name of the core, I remember, I remember",0,1,0
115,baru saja ppkm langsung,just direct ppkm,0,1,0
116,asli lama ppkm psbb tetek,original old ppkm psbb tits,0,1,0
117,apakah ini efek ppkm harga tiket naik,is this the effect of ppkm ticket prices go up,0,1,0
118,vaksinasi corona yang nilai panjang ppkm level laku di daerah jawa lengkap di,"Corona vaccination, which has a long PPKM level, sells in the Java area, complete at",0,1,0
119,baru empat boneka di surabaya bongkar satpol pp dan bpb linmas boneka bongkar tugas satpol pp karena tak izin dan timbul,only four puppets in Surabaya dismantled PP Satpol and BPB Linmas dolls unloaded PP Satpol duties because they were not authorized and appeared,0,1,0
120,serda imam maulidin anggota koramil sama anggota polsek dan satpol pp laksana giat patroli ppkm darurat level dengan sasar toko sekitar terminal karangpandan himbau agar jaga sehat selalu pakai,"Serda Imam Maulidin, members of the Koramil, members of the Polsek and Satpol PP, are active at the emergency PPKM level, targeting shops around the Karangpandan terminal. He urges you to always use health.",1,1,1
121,pantau ppkm level unit samapta polsek kuta utara laku patroli ingat prokes,monitor ppkm unit level until north kuta police conduct patrols remember prokes,1,1,1
122,awas ppkm level terus di laku personil samapta polsek abiansemal dan satpol pp,watch out the PPKM level continues to be sold by personnel from the Abiansemal Sector Police and the PP Satpol,1,1,1
123,satpol pp kabupaten grobogan laku patroli awas ppkm level protkes kendali di wilayah kota purwodadi pada hari selasa tanggal oktober,"Satpol PP in Grobogan Regency conducts patrols of PPKM at the control level at the Purwodadi City area on Tuesday, October",1,1,1
124,liatin aja sampe ppkm kalo cocok panjang,Just watch until PPKM if it's long enough,1,1,1
125,ppkm kapolri instruksi seluruh polda antisipasi lonjak kasus baca lengkap,"PPKM the National Police Chief instructs all regional police to anticipate a spike in cases, read in full",1,1,1
126,masih uin jakarta laku sesuai giat akademik,still uin jakarta sells according to academic activity,1,1,1
127,pilkades di kabupaten oki ini jadi yang dua di tanah air telah ada tunda laksana pilkdes dan pilih di masa,"Pilkades in Oki Regency are the second in the country, there has been a delay like the Pilkdes and elect in the future.",1,1,1
128,ppkm mikro dki jakarta,ppkm micro dki jakarta,1,1,1
129,bupati malang mas agung sampai target vaksinasi dlm hari ke depan bs capai agar malang bisa kembali pada level,"the regent of Malang, Mas Agung, until the vaccination target in the next day can be achieved so that Malang can return to level",1,1,1
130,meski tambah kasus corona sudah dki jakarta masih tahan di ppkm level hal ini karena ada beberapa faktor dari target perintah yang belum,"Even though the Corona case has been added, DKI Jakarta is still holding it at the PPKM level, this is because there are several factors from the target order that have not been ordered yet.",1,1,1
131,sosialisasi ppkm skala mikro oleh satgas tangkal kodim,socialization of micro-scale ppkm by the task force to deal with the Kodim,1,1,1
132,perintah baru kapolri untuk kapolda soal ppkm dan,new order from the national police chief for the police chief regarding PPKM and,1,1,1
133,bupati pangandaran jeje wiradinata jadi narasumber dialog produktif perintah di saat turun level yang selenggara oleh kpc pen lalu zoom tempat di command center oktober dokpim,"Pangandaran Regent, Jeje Wiradinata, became a resource for productive dialogue orders at the time of downgrading which was held by KPC Pen and then zoomed in to the command center in October, Dokpim",1,1,1
134,posko ppkm level tingkat rw lurah mario camat mariso kota makassar,Posko PPKM level RW level Lurah Mario Camat Mariso Makassar City,1,1,1
135,patroli gabung ppkm level sasar warung dan toko,Patrol joins PPKM at the level of targeting stalls and shops,1,1,1
136,evaluasi kapolri minta jajar tetap antisipasi lonjak,evaluation of the national police chief asks the ranks to keep anticipating the spike,1,1,1
137,cianjur target vaksinasi orang per hari untuk kejar ppkm level,"Cianjur, the target of vaccinating people per day is to catch up to the PPKM level",1,1,1
138,tribun jogja antisipasi gelombang tiga dinkes sleman cepat vaksinasi dan ketat ppkm,the jogja tribune anticipates the third wave of the Sleman Health Office to quickly vaccinate and strict PPKM,1,1,1
139,lapor luhut ppkm sampe akhir jabat,report luhut ppkm until the end of the job,1,1,1
140,ppkm jawa bal panjang sampai kapan,ppkm java bal is long until when,1,1,1
141,satgas tangan jatim akan laku monitoring ketat hadap terap new normal ppkm di kota,The East Java Task Force will carry out strict monitoring of the new normal PPKM implementation in the city,1,1,1
142,atur ppkm di sampai ke warga lalu suluh oleh sat binmas polres kep ribu,set PPKM to the residents and then instructed by Sat Binmas Polres Kep Thousand,1,1,1
143,pemko padang kejar target vaksinasi perintah pusat meski keluar dari ppkm level,Pemko Padang pursues central command vaccination target even though it is out of PPKM level,1,1,1
144,evaluasi kapolri minta jajar tetap antisipasi lonjak pers,evaluation of the national police chief asks the ranks to keep anticipating the press surge,1,1,1
145,pemkab cirebon upaya turun ppkm ke level,Cirebon district government attempts to reduce PPKM to level,1,1,1
146,pemkab garut target vaksinasi persen agar bisa kembali terap ppkm level,Garut regency government targets vaccination percent so that they can return to applying PPKM levels,1,1,1
147,cegah sebar satgas kryd ppkm laku patroli di pasar rakyat tengah,Prevent the deployment of the Kryd PPKM task force conducting patrols in the Central People's Market,1,1,1
148,perintah jokowi izin tatap muka bagi sekolah yang ada di wilayah ppkm level,Jokowi's orders for face-to-face permission for schools in the PPKM level area,1,1,1
149,edukasi warga kait ppkm level sat binmas polres pulau ribu terus beri suluh,"educating residents of the PPKM link at the level of the Binmas, the Thousand Islands Police, continue to give torches",1,1,1
150,patuh atur ppkm,obey ppkm,1,1,1
151,gaji yg dilaporin di bpjstk lebih dr umr daerah kamu trus gak masuk wilayah ppkm level atau usaha kamu kerja masuk bidang didik atau sehat makanya gak dpt,"the salary reported at bpjstk is more than the age of your area and then it doesn't fall into the PPKM level area or your business is in the education or health sector, so you can't",1,1,1
152,terang pers menteri koordinator bidang maritim dan investasi luhut binsar pandjaitan kena kembang ppkm kini senin sore lensakabinet,"explained the press, the Coordinating Minister for Maritime Affairs and Investment, Luhut Binsar Pandjaitan, was hit by PPKM, now Monday afternoon, the lens cabinet",1,1,1
153,upaya tak henti pemkab magetan untuk turun level asesmen ppkm inmendagri sudah satu tengah tahun pandemi alami oleh masyarakat masyarakat di magetan pun kena,The relentless efforts of the Magetan regency government to lower the PPKM assessment level from the Ministry of Home Affairs have been in the middle of a year of a natural pandemic by the people of Magetan.,1,1,1
154,moga ga ada ppkm dulu buat,I hope there is no ppkm first for that,1,1,1
155,upaya tak henti pemkab magetan untuk turun level asesmen ppkm inmendagri sudah satu tengah tahun pandemi alami oleh masyarakat masyarakat di magetan pun kena,The relentless efforts of the Magetan regency government to lower the PPKM assessment level from the Ministry of Home Affairs have been in the middle of a year of a natural pandemic by the people of Magetan.,1,1,1
156,patuh tentu ppkm untuk cegah lonjak sebar,Obey of course PPKM to prevent spikes in distribution,1,1,1
157,karena kita masuk ppkm level masyarakat jangan longgar razia masih kita kata plt kasatpol pp kabupaten paulus,"because we are entering the community level PPKM, don't loose the raid, we still say plt Kasatpol PP Paul District",1,1,1
158,hal sebut rupa upaya untuk tahan agar kepri tetap status ppkm level,It's called an effort to keep the Riau Islands still in PPKM level status,1,1,1
159,perintah jokowi laku sesuai ppkm di jumlah daerah,Jokowi's orders are sold according to PPKM in a number of regions,1,1,1
160,upaya tak henti pemkab magetan untuk turun level asesmen ppkm inmendagri sudah satu tengah tahun pandemi alami oleh masyarakat masyarakat di magetan pun kena,The relentless efforts of the Magetan regency government to lower the PPKM assessment level from the Ministry of Home Affairs have been in the middle of a year of a natural pandemic by the people of Magetan.,1,1,1
161,patuh tentu ppkm untuk cegah lonjak sebar,Obey of course PPKM to prevent spikes in distribution,1,1,1
162,karena kita masuk ppkm level masyarakat jangan longgar razia masih kita kata plt kasatpol pp kabupaten paulus,"because we are entering the community level PPKM, don't loose the raid, we still say plt Kasatpol PP Paul District",1,1,1
163,hal sebut rupa upaya untuk tahan agar kepri tetap status ppkm level,It's called an effort to keep the Riau Islands still in PPKM level status,1,1,1
164,perintah jokowi laku sesuai ppkm di jumlah daerah,Jokowi's orders are sold according to PPKM in a number of regions,1,1,1
165,ppkm tidak henti kendati kasus turun,ppkm doesn't stop even though cases go down,1,1,1
166,dapat beberapa baru atur yang sesuai dengan kembang kasus di apa saja atur ppkm baru yang laku pada baca lengkap lewat artikel,get some new settings that are in accordance with the development of the case in whatever set up a new PPKM that sells in full read through the article,1,1,1
167,hidup ini sangat singkat untuk khawatir yg belum jangan sali apa dan jangan biar orang ingat kita sdh ujung ppkm kalau tetap patuh rahajeng wengi semeton sahabat semua,"Life is too short to worry about those who haven't, don't say anything and don't let people remember that we're already at the end of PPKM, if you're still obedient, Rahajeng Wengi Semeton, all of you friends.",1,1,1
168,daripada di bongkar mending terap ppkm level tak jamin embonge sepi,"Instead of being dismantled, it's better to apply PPKM level, it doesn't guarantee that the embonge is quiet",1,1,1
169,ketua dprd kota medan hasyim imbau warga agar tidak lengah dan tetap disiplin dalam terap protokol meski kota medan sudah turun jadi ppkm level,Medan city dprd chairman Hasyim urges residents not to be careless and remain disciplined in applying protocols even though Medan city has dropped to PPKM level,1,1,1
170,gubernur jatim tegas bahwa saat ini vaksinasi jadi tolok ukur penting yang guna perintah pusat dalam tentu leveling ppkm suatu,The governor of East Java is firm that at this time vaccination is an important benchmark that will be used by the central government in determining the level of PPKM of a country,1,1,1
